"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"87","Agona East","John Agyabeng","NPP","Kwaku Adu Yeboah","NDC","Central"
"88","Agona West","Samuel Kweku Obodai","NPP","Samuel Kweku Obodai","NPP","Central"
"89","Ajumako/Enyan/Essiam","Isaac Eduasar Edumadze","NPP","Isaac Eduasar Edumadze","NPP","Central"
"90","Asikuma/Odoben/Brakwa","Paul Collins Appiah-Ofori","NPP","Paul Collins Appiah-Ofori","NPP","Central"
"91","Assin North","Ken Ohene Agyapong","NPP","Ken Ohene Agyapong","NPP","Central"
"92","Assin South","Dominic Kwaku Fobih","NPP","Dominic Kwaku Fobih","NPP","Central"
"93","Awutu /Senya","Oppey Abbey","NPP","Hanna Tetteh K. Kpodar","NDC","Central"
"94","Cape Coast","Christine Churcher","NPP","Christine Churcher","NPP","Central"
"95","Effutu","Samuel Owusu Agyei","NPP","Mike Allen Hammah","NDC","Central"
"96","Gomoa East","Richard Sam Quarm","NPP","Richard Sam Quarm","NPP","Central"
"97","Gomoa West","Joe Kingsley Hackman","NPP","Ama Benyiwa-Doe","NDC","Central"
"98","Hemang-Lower-Denkyira[5]","Rev. Benjamin Bimpong Donkor","NPP","New constituency","—","Central"
"99","Komenda-Edina-Eguafo-Abbrem","Dr. Paa Kwesi Nduom","CPP","Ato Quarshie","NDC","Central"
"100","Mfantsiman East","George Kuntu Blankson","NDC","Comfort Owusu","NDC","Central"
"101","Mfantsiman West","Stephen Asamoah Boateng","NPP","Jacob Scherrer Arthur","NDC","Central"
"102","Twifo-Atti Morkwaa[2]","Elizabeth Amoah Tetteh","NDC","New constituency","—","Central"
"103","Upper Denkyira East[2]","Nana Amoako","NPP","New constituency","—","Central"
"104","Upper Denkyira West[2]","Benjamin Kofi Ayeh","NPP","New constituency","—","Central"
"105","Abetifi","Eugene Atta Agyepong","NPP","Eugene Atta Agyepong","NPP","Eastern"
"106","Abirem[9](formerly Birim North)","Esther Obeng Dapaah","NPP","Dr William Boakye Akoto","NPP","Eastern"
"107","Aburi-Nsawam[2]","Magnus Opare-Asamoah","NPP","New constituency","—","Eastern"
"108","Afram Plains North","Joseph Tsatsu Agbenu","NDC","Joseph Tsatsu Agbenu","NDC","Eastern"
"109","Afram Plains South","Raphael Kofi Ahaligah","NDC","Kwakye Addo","NDC","Eastern"
"110","Akim Abuakwa North[10]","Joseph Boakye Danquah Adu","NPP","New constituency","—","Eastern"
"111","Akim Abuakwa South[10]","Nana Addo Dankwa Akufo-Addo","NPP","Nana Addo Dankwa Akufo-Addo","(NPP)","Eastern"
"112","Akim Oda","Yaw Osafo-Maafo","NPP","Yaw Osafo-Maafo","NPP","Eastern"
"113","Akim Swedru","Felix Owusu Adjapong","NPP","Felix Owusu Adjapong","NPP","Eastern"
"114","Akropong","William Ofori Boafo","NPP","Agyare Koi Larbi","NPP","Eastern"
"115","Akwatia","Kiston Akomena Kissi","NPP","Kiston Akomena Kissi","NPP","Eastern"
"116","Asuogyaman","Kofi Osei-Ameyaw","NPP","Emmanuel Dwamena Bekoe","NDC","Eastern"
"117","Atiwa","Yaw Brempong-Yeboah","NPP","Yaw Brempong-Yeboah","NPP","Eastern"
"118","Ayensuano","Godfred Kwame Otchere","NPP","Godfred Kwame Otchere","NPP","Eastern"
"119","Fanteakwa","Kwadjo Agyei Addo","NPP","Samuel Ofosu Ampofo","NDC","Eastern"
"120","Kade","Ofosu Asamoah","NPP","Ofosu Asamoah","NPP","Eastern"
"121","Lower Manya Krobo","Michael Teye Nyaunu","NDC","Michael Teye Nyaunu","NDC","Eastern"
"122","Lower West Akim","James Appietu-Ankrah","NPP","Peter Kwaw","NPP","Eastern"
"123","Mpraeso","Dr. Francis Osafo-Mensah","NPP","Dr. Francis Osafo-Mensah","NPP","Eastern"
"124","New Juabeng North","Hackman Owusu-Agyeman","NPP","Hackman Owusu-Agyeman","NPP","Eastern"
"125","New Juaben Southformerly Koforidua","Yaw Barimah","NPP","Yaw Barimah","NPP","Eastern"
"126","Nkawkaw","Kwabena Adusa Okerchiri","NPP","Kwabena Adusa Okerchiri","NPP","Eastern"
"127","Ofoase-Ayirebi[2]","David Oppon-Kusi","NPP","New constituency","—","Eastern"
"128","Okere","Brandford Kwame Daniel Adu","NPP","Brandford Kwame Daniel Adu","NPP","Eastern"
"129","Suhum","Frederick Opare-Ansah","NPP","Ransford Agyapong","NPP","Eastern"
"130","Upper Manya Krobo","Stephen Amoanor Kwao","NDC","Stephen Amoanor Kwao","NDC","Eastern"
"131","Upper West Akim","Samuel Sallas Mensah[1]","NDC","Samuel Sallas Mensah","NDC","Eastern"
"132","Yilo Krobo","Raymond Tawiah","NDC","Daniel Tekpertey","NDC","Eastern"
"133","Ablekuma Central","Victor Okuley Nortey","NPP","Victor Okuley Nortey","NPP","Greater Accra"
"134","Ablekuma North","Kwamena Bartels","NPP","Kwamena Bartels","NPP","Greater Accra"
"135","Ablekuma South","Theresa Ameley Tagoe","NPP - (Deceased)","Fritz Baffour","NDC","Greater Accra"
"136","Abokobi-Madina[2]","Alhaji Amadu Bukari Sorogho","NDC","New constituency","—","Greater Accra"
"137","Ada","Alex Narh Tettey-Enyo","NDC","Amos Lawerh Buertey","NDC","Greater Accra"
"138","Adenta[2]","Kwadjo Opare-Hammond","NPP","New constituency",NA,"Greater Accra"
"139","Ashaiman","Kwame Alfred Agbesi","NDC","Emmanuel Kinsford Kwesi Teye","NPP","Greater Accra"
"140","Ayawaso Central","Sheikh Ibrahim C. Quaye","NPP","Sheikh Ibrahim C. Quaye","NPP","Greater Accra"
"141","Ayawaso East","Dr. Alhaji Mustapha Ahmed","NDC","Dr. Alhaji Mustapha Ahmed","NDC","Greater Accra"
"142","Ayawaso West-Wuogon","Akosua Frema Osei-Opare","NPP","George Isaac Amoo","NPP","Greater Accra"
"143","Dade-Kotopon","Nii Amasah Namoale","NDC","Godfried Ako-Nai","NPP","Greater Accra"
"144","Dome Kwabenya[2]","Aaron Michael Oquaye","NPP","New constituency","—","Greater Accra"
"145","Domeabra-Obom[2]","Daoud Anum Yemoh","NPP","New constituency","—","Greater Accra"
"146","Klottey-Korle","Nii Adu Daku Mante","NPP","Nii Adu Daku Mante","NPP","Greater Accra"
"147","Kpone-Katamanso","Joseph Nii Laryea Afotey Agbo","NDC","Afieye Ashong","NDC","Greater Accra"
"148","Krowor","Abraham Laryea Odai","NPP","Emmanuel Adjei Boye","NPP","Greater Accra"
"149","Ledzokuku","Dr. Gladys Nortey Ashitey","NPP","Eddie Akita","NPP","Greater Accra"
"150","Ningo-Prampram","Enoch Teye Mensah[1]","NDC","Enoch Teye Mensah","NDC","Greater Accra"
"151","Odododiodoo","Samuel Nii Ayi Mankattah[11]","NDC","Reginald Niibi Ayi-Bonte","NPP","Greater Accra"
"152","Okaikwei North","Elizabeth K. Tawiah Sackey","NPP","Joseph Darko Mensah","NPP","Greater Accra"
"153","Okaikwei South","Nana Akomea","NPP","Nana Akomea","NPP","Greater Accra"
"154","Sege[2]","Alfred W. Gbordzor Abayateye","NDC","New constituency","—","Greater Accra"
"155","Shai-Osudoku","David Tetteh Assumeng","NDC","Michael Afedi Gizo","NDC","Greater Accra"
"156","Tema East","Ishmael Ashitey","NDC","Ishmael Ashitey","NDC","Greater Accra"
"157","Tema West","Abraham Osei-Aidooh","NPP","Abraham Osei-Aidooh","NPP","Greater Accra"
"158","Trobu-Amasaman[2]","Sameul Nee-Aryeetey Attoh","NPP","New constituency","—","Greater Accra"
"159","Weija[2]","Shirley Ayorkor Botchwey","NPP","New constituency","—","Greater Accra"
"160","Bimbilla","Mohammed Ibn Abass","NDC","Dominc Aduna Bingab Nitiwul","NPP","Northern"
"161","Bole","John Dramani Mahama","NDC","John Dramani Mahama","NDC","Northern"
"162","Bunkpurugu/Yunyoo","Joseph Yaani Labik","Independent","Namburr Berrick","NDC","Northern"
"163","Chereponi","Doris A. Seidu","NPP","Mohammed Seidu Abah","NDC","Northern"
"164","Damango-Daboya","Alex Sofo","NPP","Alex Seidu Sofo","NPP","Northern"
"165","Gushiegu","Rita Tani Iddi","NPP","Iddrisu Huudu","NDC","Northern"
"166","Karaga[2]","Iddrisu Dawuda","NDC","New constituency","—","Northern"
"167","Kpandai","Lipkalimor Kwajo Tawiah","NDC","Lipkalimor Kwajo Tawiah","NDC","Northern"
"168","Kumbungu","Alhaji Yakubu K. Imoro","NDC","Alhaji Muhammed Mumuni","NDC","Northern"
"169","Mion","Ahmed Alhassan Yakubu","NDC","Adams Ebenezer Mahama","NDC","Northern"
"170","Nalerigu","Hajia Alima Mahama","NPP","Dr.Tia Alfred Sugri","NDC","Northern"
"171","Nanton","Alhaji Alhassan Yakubu[1]","NDC","Alhaji Alhassan Yakubu","NDC","Northern"
"172","Saboba","Charles Binipom Bintin","NPP","Nayon Bilijo","NDC","Northern"
"173","Salaga","Boniface Abubakar Saddique","NPP","Boniface Abubakar Saddique","Independent","Northern"
"174","Savelugu","Hajia Mary Salifu Boforo","NDC","Hajia Mary Salifu Boforo","NDC","Northern"
"175","Sawla-Tuna-Kalba","Donald Dari Saditey","NDC","Joseph Trumah Bayel","NDC","Northern"
"176","Tamale Central[2]","Alhassan Wayo Seini[12]","NDC","New constituency","—","Northern"
"177","Tamale North[2]","Alhaji Abubakari Sumani","NDC","New constituency","—","Northern"
"178","Tamale South[2]","Iddrisu Haruna","NDC","New constituency","—","Northern"
"179","Tolon","Umar Abdul-Razak","NDC","Alhaji Abdulai Salifu","NDC","Northern"
"180","Walewale (East) (formerly West Mamprusi)[2]","Alidu Iddrisu Zakari","NDC","Issifu Asumah","(PNC)","Northern"
"181","Wulensi","Kofi Karim Wumbei","NPP","Kofi Karim Wumbei","NPP","Northern"
"182","Yagaba-Kubori[2](Walewale West)","Abdul-Rauf Tanko Ibrahim","NDC","New constituency","—","Northern"
"183","Yapei-Kusawgu","Alhaji Seidu Amadu","NDC","Alhaji Seidu Amadu","NDC","Northern"
"184","Yendi","Malik Al-Hassan Yakubu","NPP","Malik Al-Hassan Yakubu","NPP","Northern"
"185","Zabzugu/Tatale","Mohammed Jagri","NDC","Mohammed Jagri","NDC","Northern"
"186","Bawku Central","Mahama Ayariga","NDC","Hawa Yakubu","NPP","Upper East"
"187","Binduri","Mark Anthony Awuni","NDC","Achidago B. Akugri","NDC","Upper East"
"188","Bolgatanga","David Apasara","PNC [13]","David Apasara","PNC [14]","Upper East"
"189","Bongo","Albert Abongo","NDC","Albert Abongo","NDC","Upper East"
"190","Builsa North","Agnes A. Chigabatia","NPP","Anuka Theodore Basil","NDC","Upper East"
"191","Builsa South","Abolimbisa Roger Akantagriwen","NDC","Norbet Awulley","NDC","Upper East"
"192","Chiana-Paga","Pele Tumbakura Abugu","NDC","Pele Tumbakura Abugu","NDC","Upper East"
"193","Garu - Tempane","Dominc Azumah","NDC","Joseph Akudibilla","Independent","Upper East"
"194","Nabdam","Moses Asaga","NDC","Moses Asaga","NDC","Upper East"
"195","Navrongo Central","Joseph Kofi Adda","NPP","Joseph Kofi Adda","NPP","Upper East"
"196","Pusiga[2]","Simon Atingban Akunye","NDC","New constituency","—","Upper East"
"197","Talensi","John Akologu Tia[1]","NDC","John Akologu Tia","NDC","Upper East"
"198","Zebilla[2]","John Akparibo Ndebugre","PNC","New constituency","—","Upper East"
"199","Jirapa","Edward Kojo Salia","NDC","Edward Kojo Salia","NDC","Upper West"
"200","Lambussie","Alice Teni Boon","NDC","Alice Teni Boon","NDC","Upper West"
"201","Lawra-Nandom","Dr. Benjamin Bewa-Nyog Kunbuor","NDC","Dr. Benjamin Bewa-Nyog Kunbuor","NDC","Upper West"
"202","Nadowli East","Mathias Asoma Puozaa","NDC","","(NDC)","Upper West"
"203","Nadowli West[2]","Alban Sumana Kingsford Bagbin[1]","NDC","Alban Sumana Kingsford Bagbin","(NDC)","Upper West"
"204","Sissala East[15]formerly Sissala","Moses Dani Baah","PNC","Moses Dani Baah","PNC","Upper West"
"205","Sissala West[15]","Haruna Bayirga","PNC","New constituency","—","Upper West"
"206","Wa Central","Abdul-Rashid Hassan Pelpuo","NDC","Seidu Mummuni Abudu","NDC","Upper West"
"207","Wa East","Bayon Godfrey Tangu","NPP","Alhaji Issahaku Salia","NDC","Upper West"
"208","Wa West[2]","Joseph Yieleh Chireh","NDC","New constituency","—","Upper West"
"209","Akan","John Kwadjo Gyampong","NDC","Bawa Rashid","Independent","Volta"
"210","Anlo","Clement Kofi Humado","NDC","James Victor Gbeho","Independent","Volta"
"211","Avenor-Ave","Edward Korbly Doe Adjaho[1]","NDC","Edward Korbly Doe Adjaho","NDC","Volta"
"212","Biakoye","Emmanuel Kwasi Bandua","NDC","Kwabena Adjei","NDC","Volta"
"213","Buem","Henry Ford Kamel","NDC","Emil Kwadzo Brantuo","NDC","Volta"
"214","Central Tongu[2]","Joe Kwashie Gidisu","NDC","New constituency","—","Volta"
"215","Ho Central","Capt  George Kofi Nfodjoh","NDC","Kofi Attor","NDC","Volta"
"216","Ho East","Juliana Azumah-Mensah","NDC","Steve Senu Akorli","NDC","Volta"
"217","Ho West","Francis Aggrey Agbotse","NDC","Francis Aggrey Agbotse","NDC","Volta"
"218","Hohoe North","Prince Jacob Hayibor","NDC","Nathaniel Kwadzo Aduadjoe","NDC","Volta"
"219","Hohoe South","Joseph Zaphenat Amenowode","NDC","Kosi Kedem","NDC","Volta"
"220","Keta","Dan Kwasi Abodakpi[1]","NDC","Dan Kwasi Abodakpi","NDC","Volta"
"221","Ketu North","James Klutse Avedzi","NDC","Modestus Y.Z. Ahiable","NDC","Volta"
"222","Ketu South","Albert Kwasi Zigah","NDC","Charles Kofi Agbenaza","NDC","Volta"
"223","Krachi East[2]","Wisdom Gidisu","NDC","New constituency","—","Volta"
"224","Krachi West[5]","Francis Y. Osei Sarfo","NDC","Francis Y. Osei Sarfo","(NDC)","Volta"
"225","Nkwanta North[2]","Joseph K. Nayan","NPP","New constituency","—","Volta"
"226","Nkwanta South[5]","Gershon Kofi Gbediame","NDC","Gershon Kofi Gbediame","(NDC)","Volta"
"227","North Dayi","Akua Sena Dansua","NDC","Akua Sena Dansua","NDC","Volta"
"228","North Tongu","Charles Hodogbey","NDC","Joe Gidisu","NDC","Volta"
"229","South Dayi","Daniel Kwame Ampofo","NDC","Daniel Kwame Ampofo","NDC","Volta"
"230","South Tongu","Kenneth Dzirasah[1]","NDC","Kenneth Dzirasah","NDC","Volta"
