"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"25","Amansie West","Stephen Cobbinah B. Karikari","NPP","Anthony Boakye-Yiadom","NPP","Ashanti"
"26","Asante Akim North","Kwadwo Baah-Wiredu","NPP","Kwadwo Baah-Wiredu","NPP","Ashanti"
"27","Asante Akim South","Alex Kwaku Korankye","NPP","Alex Kwaku Korankye","NPP","Ashanti"
"28","Asokwa East","Dr. Edward Baffoe Bonnie","NPP","Ahmed Musah","NDC","Ashanti"
"29","Asokwa West","Edward Osei-Kwaku","NPP","Edward Osei-Kwaku","NPP","Ashanti"
"30","Atwima/Kwanwoma","Dr. Matthew Kwaku Antwi","NPP","Dr. Matthew Kwaku Antwi","NPP","Ashanti"
"31","Atwima Mponua","Akwasi Dante Afriyie","NPP","Akwasi Dante Afriyie","NPP","Ashanti"
"32","Atwima Nwabiagya","James Edusei Sarkodie","NPP","James Edusei Sarkodie","NPP","Ashanti"
"33","Bantama","Dr. Richard Winfred Anane","NPP","Dr. Richard Winfred Anane","NPP","Ashanti"
"34","Bekwai","Ignatius K. Poku Edusei","NPP","Alexander Agyei-Acheampong","NPP","Ashanti"
"35","Bosome-Freho","Gabriel Yaw Amoah","NPP","Gabriel Yaw Amoah","NPP","Ashanti"
"36","Bosomtwe","Poku Adu-Gyamfi","NPP","Poku Adu-Gyamfi","NPP","Ashanti"
"37","Effiduase-Asokore","Mrs. Grace Coleman","NPP","Mrs. Grace Coleman","NPP","Ashanti"
"38","Ejisu/Juabeng","Akwasi Osei-Adjei","NPP","Akwasi Osei-Adjei","NPP","Ashanti"
"39","Ejura Sekyedumasi","Sampson Atakora","NDC","Peter Boakye-Ansah","NPP","Ashanti"
"40","Fomena","Akwasi Afrifa","NPP","Akwasi Afrifa","NPP","Ashanti"
"41","Kumawu","Reo Addai Basoah","NPP","Reo Addai Basoah","NPP","Ashanti"
"42","Kwabre","Nana Asante Frimpong","NPP","Nana Asante Frimpong","NPP","Ashanti"
"43","Mampong","Solomon Kwabena Sarfoh","NPP","Solomon Kwabena Sarfoh","NPP","Ashanti"
"44","Manhyia","Dr. Kwame Addo-Kufuor","NPP","Dr. Kwame Addo-Kufuor","NPP","Ashanti"
"45","New Edubease","Theresa Joyce Baffoe","NDC","Theresa Joyce Baffoe","NDC","Ashanti"
"46","Nsuta/Kwamang","Kwame Osei Prempeh","NPP","Kwame Osei Prempeh","NPP","Ashanti"
"47","Obuasi","Anthony Bright Boadi-Mensah","NPP","Anthony Bright Boadi-Mensah","NPP","Ashanti"
"48","Odotobri","Samuel Nkrumah Gyimah","NPP","Samuel Nkrumah Gyimah","NPP","Ashanti"
"49","Offinso North","Kofi Konadu Apraku","NPP","Kofi Konadu Apraku","NPP","Ashanti"
"50","Offinso South","Kwabena Sarfo","NPP","Francis Kwasi Buor","NPP","Ashanti"
"51","Old Tafo Suame","Osei Kyei Mensah Bonsu","NPP","Bonsu Osei Kyei-Mensah","NPP","Ashanti"
"52","Subin","Sampson Kwaku Boafo","NPP","Sampson Kwaku Boafo","NPP","Ashanti"
"53","Asunafo North","Benjamine Osei Kuffour","NPP","David Kwasi Amankwah","NDC","Brong Ahafo"
"54","Asunafo South","George William Amponsah","NPP","Francis Adu-Poku","NDC","Brong Ahafo"
"55","Asutifi North","Paul Okoh","NPP","Emmanuel Baah Danquah","NDC","Brong Ahafo"
"56","Asutifi South","Cecilia Djan Amoah#","NPP","Collins Dauda","NDC","Brong Ahafo"
"57","Atebubu North","David Yaw Mensah","NDC","David Yaw Mensah","NDC","Brong Ahafo"
"58","Atebubu South","Amadu Ali","NDC","Amadu Ali","NDC","Brong Ahafo"
"59","Berekum","Capt. Nkrabeah Effah Dartey","NPP","J.H. Owusu Acheampong","NDC","Brong Ahafo"
"60","Dormaa East","Stephen Adoma-Yeboah","NPP","Nicholas K. Adjei-Kyeremeh","NDC","Brong Ahafo"
"61","Dormaa West","Yaw Asiedu Mensah","NPP","Thomas Kwame Yeboah","NDC","Brong Ahafo"
"62","Jaman","Anna Nyamekye","NPP","Nicholas Appiah-Kubi","NDC","Brong Ahafo"
"63","Kintampo","Yaw Effah Baafi","NDC","Gladys Abena Nsoah","NDC","Brong Ahafo"
"64","Nkoranza","Hayford Francis Amoako","NDC","Theresa Nyarko-Fofie","NDC","Brong Ahafo"
"65","Sene","Felix Twumasi-Appiah","NDC","Yaw Nana Otto","NDC","Brong Ahafo"
"66","Sunyani East","Joseph Henry Mensah","NPP","Joseph Henry Mensah","NPP","Brong Ahafo"
"67","Sunyani West","Kwadwo Adjei Darko","NPP","Kwadwo Adjei Darko","NPP","Brong Ahafo"
"68","Tano North","Joe Donkor","NPP","Joe Donkor","NPP","Brong Ahafo"
"69","Tano South","Andrews Adjei-Yeboah","NPP","Grace Boachie","NDC","Brong Ahafo"
"70","Techiman North","Isaac Kwadwo Adjei Mensah","NDC","Isaac Kwadwo Adjei Mensah","NDC","Brong Ahafo"
"71","Techiman South","Prince Oduro-Mensah","NPP","Kwadwo Mama Adams","NDC","Brong Ahafo"
"72","Wenchi East","Alhaji Moctar Musah Bambah","NPP","Alhaji Moctar Musah Bambah","NPP","Brong Ahafo"
"73","Wenchi West","Johnson Asiedu Nketia","NDC","Johnson Asiedu Nketia","NDC","Brong Ahafo"
"74","Abura/Asebu/Kwamankese","Harry Halifax-Hayford","NDC","J.E. Afful","NDC","Central"
"75","Agona East","Kwaku Adu Yeboah","NDC","Kojo A. Yankah","NDC","Central"
"76","Agona West","Samuel Kweku Obodai","NPP","Samuel Oppong","NDC","Central"
"77","Ajumako/Enyan/Essiam","Isaac Eduasar Edumadze","NPP","Isaac Eduasar Edumadze","NPP","Central"
"78","Asikuma/Odoben/Brakwa","Paul C. Appiah-Ofori","NPP","Ebenezer Kobina Fosu","NDC","Central"
"79","Assin North","Kennedy Agyapong","NPP","Florence Kumi","NDC","Central"
"80","Assin South","Dominic Kwaku Fobih","NPP","Kwaku Al-Hassan Dadzie","NDC","Central"
"81","Awutu /Senya","Hanna Tetteh K. Kpodar","NDC","Babalami Abu-Sadat","NDC","Central"
"82","Cape Coast","Christine Churcher","NPP","Christine Churcher","NPP","Central"
"83","Effutu","Mike Allen Hammah","NDC","Mike Allen Hammah","NDC","Central"
"84","Gomoa East","Emmanuel Acheampong[3]","NPP","Thomas Kweku Aubyn","NDC","Central"
"85","Gomoa West","Ama Benyiwa-Doe","NDC","Ama Benyiwa-Doe","NDC","Central"
"86","Komenda/Edina/Eguafo/Abbrem","Ato Quarshie","NDC","Ato Quarshie","NDC","Central"
"87","Mfantsiman East","Comfort Owusu","NDC","Comfort Owusu","NDC","Central"
"88","Mfantsiman West","Jacob Scherrer Arthur","NDC","Jacob Scherrer Arthur","NDC","Central"
"89","Twifo/Hemang/Lower/Denkyira","Abraham Owusu Baidoo","NDC","John Kweku Kumah","NDC","Central"
"90","Upper Denkyira","Charles Omar Nyanor","NPP","Clement Charles Omar Nyanor","NPP","Central"
"91","Abetifi","Eugene Atta Agyepong","NPP","Eugene Atta Agyepong","NPP","Eastern"
"92","Abuakwa","Nana Addo Dankwa Akufo-Addo","NPP","Nana Addo Dankwa Akufo-Addo","NPP","Eastern"
"93","Afram Plains North","Joseph Tsatsu Agbenu","NDC","Krosby Mensah","NDC","Eastern"
"94","Afram Plains South","Kwakye Addo","NDC","Kwakye Addo","NDC","Eastern"
"95","Akim Oda","Yaw Osafo-Maafo","NPP","Yaw Osafo-Maafo","NPP","Eastern"
"96","Akim Swedru","Felix Owusu Adjapong","NPP","Felix Owusu Adjapong","NPP","Eastern"
"97","Akropong","Agyare Koi Larbi","NPP","Agyare Koi Larbi","NPP","Eastern"
"98","Akwapim South","Seth Dankwa Wiafe","NPP","Vida Amaadi Yeboah","NDC","Eastern"
"99","Akwatia","Kinston Akomeng Kissi","NPP","Mohammed Erzuah Siam","NDC","Eastern"
"100","Asuogyaman","Dwamena Bekoe","NDC","Kwamena Dwamena-Aboagye","NDC","Eastern"
"101","Atiwa","Yaw Brempong Yeboah","NPP","Yaw Baning-Darko","NPP","Eastern"
"102","Ayensuano","Godfred Otchere","NPP","Evans Kodjo Ahorsey","NDC","Eastern"
"103","Birim North","Dr William Boakye Akoto","NPP","Kweku Boateng-Lovinger","NDC","Eastern"
"104","Fanteakwa","Samuel Ofosu Ampofo","NDC","Samuel Ofosu Ampofo","NDC","Eastern"
"105","Kade","Ofosu Asamoah","NPP","Francis Kwame Nyarko","NPP","Eastern"
"106","Koforidua","Yaw Barima","NPP","Yaw Barima","NPP","Eastern"
"107","Lower Manya Krobo","Michael Teye Nyanua","NDC","Michael Teye Nyanua","NDC","Eastern"
"108","Lower West Akim","Peter Kwaw","NPP","Akuamoa Ofosu-Boateng","NDC","Eastern"
"109","Mpraeso","Francis Osafo Mensah","NPP","Francis Osafo Mensah","NPP","Eastern"
"110","New Juabeng North","Hackman Owusu-Agyeman","NPP","Hackman Owusu-Agyeman","NPP","Eastern"
"111","Nkawkaw","Kwabena Adusa Okerchiri","NPP","Kwabena Adusa Okerchiri","NPP","Eastern"
"112","Okere","Brandford Kwame Daniel Adu","NPP","Fuzzy Dapaah Torbay","NDC","Eastern"
"113","Suhum","Ransford Agyapong","NPP","Solomon Kodjoe Akwetey","NDC","Eastern"
"114","Upper Manya Krobo","Stephen Kwao Amoanor","NDC","Solomon Tettey Terkper","NDC","Eastern"
"115","Upper West Akim","Samuel Sallas Mensa","NDC","Samuel Sallas Mensa","NDC","Eastern"
"116","Yilo Krobo","Daniel Tekpertey","NDC","Daniel Tekpertey","NDC","Eastern"
"117","Ablekuma Central","Victor Okuley Nortey","NPP","Victor Okuley Nortey","NPP","Greater Accra"
"118","Ablekuma North","Kwamena Bartels","NPP","Kwamena Bartels","NPP","Greater Accra"
"119","Ablekuma South","Theresa Ameley Tagoe","NPP","Theresa Ameley Tagoe","NPP","Greater Accra"
"120","Ada","Amos Lawerh Buertey","NDC","Amos Lawerh Buertey","NDC","Greater Accra"
"121","Ashaiman","Emmanuel Kinsford Kwesi Teye","NPP","Franklin W.K. Aheto","NDC","Greater Accra"
"122","Ayawaso Central","Sheikh Ibrahim Codjoe Quaye","NPP","Sheikh Ibrahim Codjoe Quaye","NPP","Greater Accra"
"123","Ayawaso West-Wuogon","George Isaac Amoo","NPP","Mrs Rebecca Akweley Adotey","NDC","Greater Accra"
"124","Dade-Kotopon","Godfried Ako-Nai","NPP","Sylvester A. Mensah","NDC","Greater Accra"
"125","Ayawaso East","Mustapha Ahmed","NDC","Farouk Braimah","NDC","Greater Accra"
"126","Ga North","Sampson Ottu Darkoh","NPP","Sampson Ottu Darkoh","NPP","Greater Accra"
"127","Ga South","Ernest Attoquaye Armah","NDC","Margaret Clarke Kwesie","NDC","Greater Accra"
"128","Klottey-Korle","Nii Adu Daku Mante","NPP","David Lamptey","NDC","Greater Accra"
"129","Kpone-Katamanso","Afieye Ashong","NDC","Afieye Ashong","NDC","Greater Accra"
"130","Krowor","Emmanuel Adjei Boye","NPP","Joshua Alabi","NDC","Greater Accra"
"131","Ledzokuku","Eddie Akita","NPP","Nii Adjei-Boye Sekan","NDC","Greater Accra"
"132","Ningo-Prampram","Enoch Teye Mensah","NDC","Enoch Teye Mensah","NDC","Greater Accra"
"133","Odododiodoo","Reginald Niibi Ayi-Bonte","NPP","Nii Okaidja Adamafio","NDC","Greater Accra"
"134","Okaikwei North","Joseph Darko Mensah","NPP","Joseph Darko Mensah","NPP","Greater Accra"
"135","Okaikwei South","Nana Akomea","NPP","Nana Akomea","NPP","Greater Accra"
"136","Shai-Osudoku","Michael Afedi Gizo","NDC","Michael Afedi Gizo","NDC","Greater Accra"
"137","Tema East","Ishmael Ashitey","NDC","Ishmael Ashitey","NDC","Greater Accra"
"138","Tema West","Abraham Ossei-Aidooh","NPP","Abraham Ossei-Aidooh","NPP","Greater Accra"
"139","Bimbilla","Mohamed Ibn Chambas[4]","NDC","George Mpambi Dagmanyi","PNC","Northern"
"140","Bole","John Dramani Mahama","NDC","John Dramani Mahama","NDC","Northern"
"141","Bunkpurugu/Yunyoo","Namburr Berrick","NDC","Joseph Yaani Labik","NDC","Northern"
"142","Chereponi","Mohammed Seidu Abah","NDC","Alhaji Innocent Mahamadu Yahaya","NDC","Northern"
"143","Chogu/Tishigu","Alhaji Abubakari Sumani","NDC","Ibrahim Adam","NDC","Northern"
"144","Damango/Daboya","Alex Sofo","NPP","Adam Mahama","NDC","Northern"
"145","Gukpegu/Sabongida","Mustapha Ali Iddris","NPP","Mustapha Ali Iddris","NPP","Northern"
"146","Gushiegu/Karaga","Iddrisu Huudu","NDC","Iddrisu Huudu","NDC","Northern"
"147","Kpandai","Lipkalimor Kwajo Tawiah","NDC","Lipkalimor Kwajo Tawiah","NDC","Northern"
"148","Kumbungu","Alhaji Muhammed Mumuni","NDC","Alhaji Muhammed Mumuni","NDC","Northern"
"149","Mion","Adams Ebenezer Mahama","NDC","Alabira Ibrahim","CPP","Northern"
"150","Nalerigu","Dr.Tia Alfred Sugri","NDC","Isaac Kolibilla Batesimah","NDC","Northern"
"151","Nanton","Alhaji Alhassan Yakubu","NDC","Alhaji Alhassan Yakubu","NDC","Northern"
"152","Saboba","Nayon Bilijo","NDC","Moses Mabengba Bukari","NDC","Northern"
"153","Salaga","Boniface Abubakar Saddique","Independent","Hamidu Baba Braimah","NDC","Northern"
"154","Savelugu","Mary Salifu Boforo","NDC","Mary Salifu Boforo","NDC","Northern"
"155","Sawla/Kalba","Joseph Trumah Bayel","NDC","Joseph Trumah Bayel","NDC","Northern"
"156","Tolon","Alhaji Abdulai Salifu","NDC","Alhaji Abdulai Salifu",NA,"Northern"
"157","West Mamprusi (Walewale)","Issifu Asumah","PNC","Susana Adam","NDC","Northern"
"158","Wulensi","Samuel Nyimakan[5]","NDC","Iddi Saani","NPP","Northern"
"159","Yapei/Kusawgu","Alhaji Amadu Seidu","NDC","Alhaji Amadu Seidu","NDC","Northern"
"160","Yendi","Malik Al-Hassan Yakubu","NPP","Malik Al-Hassan Yakubu","NPP","Northern"
"161","Zabzugu/Tatale","Jagri Mohammed","NDC","John Jagri Kokpah","NDC","Northern"
"162","Bawku Central","Hawa Yakubu","NPP","Fati Seidu","NDC","Upper East"
"163","Bawku West","Cletus Apul Avoka","NDC","Cletus Apul Avoka","NDC","Upper East"
"164","Binduri","Achidago B. Akugri","NDC","Fortunate Atubiga","NDC","Upper East"
"165","Bolgatanga","David Apasara","PNC [6]","Simon Anyoa Abingya","NDC","Upper East"
"166","Bongo","Albert Abongo","NDC","Simon Alangde Asabo","NDC","Upper East"
"167","Builsa North","Theodore Basil Anuka","NDC","Theodore Basil Anuka","NDC","Upper East"
"168","Builsa South","Norbet Garko Awulley","NDC","Norbert Garko Awullay","NDC","Upper East"
"169","Chiana / Paga","Pele Abugu","NDC","Pele Abugu","NDC","Upper East"
"170","Garu/Tempane","Joseph Akudibilla","Independent","Dominic Azimbe Azumah","NDC","Upper East"
"171","Nabdan","Moses Aduku Asaga","NDC","Moses Aduku Asaga","NDC","Upper East"
"172","Navrongo Central","John Setuni Achuliwor[7]","NPP","Clement Tumfugah Bugase","NDC","Upper East"
"173","Talensi","John Akologu Tia","NDC","John Akologu Tia","NDC","Upper East"
"174","Jirapa","Edward Kojo Salia","NDC","Francis G. Korbieh","NDC","Upper West"
"175","Lambussie","Alice Teni Boon","NDC","Alice Teni Boon","NDC","Upper West"
"176","Lawra/Nandom","Benjamin Kumbuor","NDC","Anthony Bondong","NDC","Upper West"
"177","Nadowli North","Alban Sumana Bagbin","NDC","Alban Sumana Bagbin","NDC","Upper West"
"178","Nadowli South","Emmanuel Samba Zumakpeh","NDC","Emmanuel Samba Zumakpeh","NDC","Upper West"
"179","Sissala","Moses Dani Baah","PNC","Amidu Sulemana","NDC","Upper West"
"180","Wa Central","Mummuni Abudu Seidu","NDC","Mummuni Abudu Seidu","NDC","Upper West"
"181","Wa East","Alhaji Issahaku Salia","NDC","Alhaji Issahaku Salia","NDC","Upper West"
"182","Akan","Bawa Rashid","Independent","John Kwadwo Gyapong","NDC","Volta"
"183","Anlo","James Victor Gbeho","Independent","Clend M Kwasi Sowu","NDC","Volta"
"184","Avenor","Edward Korbly Doe Adjaho","NDC","Edward Korbly Doe Adjaho","NDC","Volta"
"185","Biakoye","Kwabena Adjei","NDC","Kwabena Adjei","NDC","Volta"
"186","Buem","Emil Kwadzo Brantuo","NDC","Emil Kwadzo Brantuo","NDC","Volta"
"187","Ho Central","Kofi Attor","NDC","Kofi Attor","NDC","Volta"
"188","Ho East","Steve Senu Akorli","NDC","Steve Senu Akorli","NDC","Volta"
"189","Ho West","Francis Aggrey Agbotse","NDC","Francis Aggrey Agbotse","NDC","Volta"
"190","Hohoe North","Nathaniel Kwadzo Aduadjoe","NDC","Nathaniel Kwadzo Aduadjoe","NDC","Volta"
"191","Hohoe South","Kosi Kedem","NDC","Kosi Kedem","NDC","Volta"
"192","Keta","Dan Kwasi Abodakpi","NDC","Dan Kwasi Abodakpi","NDC","Volta"
"193","Ketu North","Modestus Yao Z. Ahiable","NDC","Modestus Yao Z. Ahiable","NDC","Volta"
"194","Ketu South","Charles Kofi Agbenaza","NDC","Charles Kofi Agbenaza","NDC","Volta"
"195","Krachi","Francis Y. Osei Sarfo","NDC","Sampson Kwadwo Apraku","NDC","Volta"
"196","Nkwanta","Gershon Kofi Gbediame","NDC","Gershon Kofi Gbediame","NDC","Volta"
"197","North Dayi","Akua Sena Dansua","NDC","Stephen G. Obimpeh","NDC","Volta"
"198","North Tongu","Joe Gidisu","NDC","Austin Akufo Gamey","NDC","Volta"
"199","South Dayi","Daniel Kwame Ampofo","NDC","Alexander R. Ababio","NDC","Volta"
"200","South Tongu","Kenneth Dzirasah","NDC","Kenneth Dzirasah","NDC","Volta"
