"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"31","Asante-Akim South","Gifty Ohene Konadu","NPP","Gifty Ohene Konadu","NPP","Ashanti"
"32","Asawase","Alhaji Muntaka Mohammed Mabarak","NDC","Alhaji Muntaka Mohammed Mabarak","NDC","Ashanti"
"33","Asokwa","Maxwell Kofi Jumah","NPP","Maxwell Kofi Jumah","NPP","Ashanti"
"34","Atwima-Kwanwoma","Dr. Kojo Appiah-Kubi","NPP","Dr. Matthew Kwaku Antwi","NPP","Ashanti"
"35","Atwima-Mponua","Isaac Kwame Asiamah","NPP","Isaac Kwame Asiamah","NPP","Ashanti"
"36","Atwima-Nwabiagya","Benito Owusu Bio","NPP","Benito Owusu Bio","NPP","Ashanti"
"37","Bantama","Cecilia Abena Dapaah","NPP","Cecilia Abena Dapaah","NPP","Ashanti"
"38","Bekwai","Joseph Osei-Owusu","Independent","Ignatius Kofi Poku Edusei","NPP","Ashanti"
"39","Bosome-Freho","Nana Yaw Edward Ofori-Kuragu","Independent","Nana Yaw Edward Ofori-Kuragu","NPP","Ashanti"
"40","Bosomtwe","Simon Osei Mensah","NPP","Simon Osei Mensah","NPP","Ashanti"
"41","Effiduase-Asokore","Frank Boakye Agyen","NPP","Grace Coleman","NPP","Ashanti"
"42","Ejisu-Juaben","Kwabena Owusu-Aduomi","NPP","Akwasi Osei-Adjei","NPP","Ashanti"
"43","Ejura-Sekyedumase","Alhaji Issifu Pangabu Mohammed","NDC","Alhaji Issifu Pangabu Mohammed","NDC","Ashanti"
"44","Fomena","Nana Abu Bonsra","NPP","Nana Abu Bonsra","NPP","Ashanti"
"45","Kumawu","Yaw Baah","NPP","Yaw Baah","NPP","Ashanti"
"46","Kwabre East","Kofi Frempong","NPP","Kofi Frempong","NPP","Ashanti"
"47","Kwabre West","Emmanuel Asamoa Owusu-Ansah[2]","NPP","Emmanuel Asamoa Owusu-Ansah","NPP","Ashanti"
"48","Kwadaso","Dr. Owusu Afriyie Akoto","NPP","Josephine Hilda Addoh","NPP","Ashanti"
"49","Mampong","Francis Addai Nimoh","NPP","Peter Abum Sarkodie","NPP","Ashanti"
"50","Manhyia","Dr. Mathew Opoku Prempeh","NPP","Dr. Kwame Addo-Kufuor","NPP","Ashanti"
"51","New Edubease","Ernest Kofi Yakah","NDC","Ernest Kofi Yakah","NDC","Ashanti"
"52","Nhyiaeso","Dr. Richard Winfred Anane","NPP","Dr. Richard Winfred Anane","NPP","Ashanti"
"53","Nsuta-Kwamang","Kwame Osei Prempeh","NPP","Kwame Osei Prempeh","NPP","Ashanti"
"54","Obuasi","Edward Michael Ennin","NPP","Edward Michael Ennin","NPP","Ashanti"
"55","Odotobri","Emmanuel Akwasi Gyamfi","NPP","Emmanuel Akwasi Gyamfi","NPP","Ashanti"
"56","Offinso North","A. C. Ntim","NPP","Dr. Kofi Konadu Apraku","NPP","Ashanti"
"57","Offinso South","Ben Abdallah Banda","NPP","Owusu Achaw Duah","NPP","Ashanti"
"58","Oforikrom","Elizabeth Agyeman","NPP","Elizabeth Agyeman","NPP","Ashanti"
"59","Old Tafo","Dr Anthony Akoto Osei","NPP","Dr Anthony Akoto Osei","NPP","Ashanti"
"60","Suame","Osei Kyei Mensah Bonsu","NPP","Osei Kyei Mensah Bonsu","(NPP)","Ashanti"
"61","Subin","Isaac Osei","NPP","Sampson Kwaku Boafo","NPP","Ashanti"
"62","Asunafo North","Robert Sarfo-Mensah","NPP","Robert Sarfo-Mensah","NPP","Brong Ahafo"
"63","Asunafo South","George Boakye","NPP","Eric Opoku","NDC","Brong Ahafo"
"64","Asutifi North","Paul Okoh","NPP","Paul Okoh","NPP","Brong Ahafo"
"65","Asutifi South","Alhaji Collins Dauda","NDC","Alhaji Collins Dauda","NDC","Brong Ahafo"
"66","Atebubu-Amantin","Emmanuel Owusu Manu","NDC","Emmanuel Owusu Manu","NDC","Brong Ahafo"
"67","Berekum","Kwaku Agyenim-Boateng","NPP","Capt. Nkrabeah Effah Dartey","NPP","Brong Ahafo"
"68","Dormaa East","Yaw Ntow Ababio","NPP","Yaw Ntow Ababio","NPP","Brong Ahafo"
"69","Dormaa West","Kwaku Agyemang Manu","NPP","Yaw Asiedu-Mensah","NPP","Brong Ahafo"
"70","Jaman North","Alexander Asum-Ahensah","NDC","Alexander Asum-Ahensah","NDC","Brong Ahafo"
"71","Jaman South","Afful Yaw Maama","NPP","Anna Nyamekye","NPP","Brong Ahafo"
"72","Kintampo North","Stephen Kunsu","NDC","Stephen Kunsu","NDC","Brong Ahafo"
"73","Kintampo South","Yaw Effah-Baafi","NDC","Yaw Effah-Baafi","NDC","Brong Ahafo"
"74","Nkoranza North","Major Derek Oduro","NPP","Major Derek Oduro","NPP","Brong Ahafo"
"75","Nkoranza South","Kwame Ampofo Twumasi","NPP","Kwame Ampofo Twumasi","NPP","Brong Ahafo"
"76","Pru","Masoud Baba Abdul-Rahman","NDC","Masoud Baba Abdul-Rahman","NDC","Brong Ahafo"
"77","Sene","Felix Twumasi-Appiah","NDC","Felix Twumasi-Appiah","NDC","Brong Ahafo"
"78","Sunyani East","Kwasi Ameyaw-Cherimeh","NPP","Joseph Henry Mensah","NPP","Brong Ahafo"
"79","Sunyani West","Ignatius Baffour Awuah","NPP","Kwadwo Adjei Darko","NPP","Brong Ahafo"
"80","Tain","Ahmed Ibrahim","NDC","Joe Danquah","NPP","Brong Ahafo"
"81","Tano North","Ernest Akobuor Debrah","NPP","Ernest Akobuor Debrah","NPP","Brong Ahafo"
"82","Tano South","Andrews Adjei-Yeboah","NPP","Andrews Adjei-Yeboah","NPP","Brong Ahafo"
"83","Techiman North","Christopher Ameyaw Akumfi","NPP","Alex Kyeremeh","NDC","Brong Ahafo"
"84","Techiman South","Simons Addai","NDC","Simons Addai","NDC","Brong Ahafo"
"85","Wenchi","Prof. George Yaw Djan-Baffuor","NPP","Prof. George Yaw Djan-Baffuor","NPP","Brong Ahafo"
"86","Abura-Asebu-Kwamankese","Anthony Christian Dadzie","NDC","Andrew Kingsford Mensah","NPP","Central"
"87","Agona East","John Agyabeng","NPP","John Agyabeng","NPP","Central"
"88","Agona West","Samuel Kweku Obodai","NPP","Samuel Kweku Obodai","NPP","Central"
"89","Ajumako-Enyan-Essiam","Cassiel Ato Forson","NDC","Isaac Eduasar Edumadze","NPP","Central"
"90","Asikuma-Odoben-Brakwa","Paul Collins Appiah-Ofori","NPP","Paul Collins Appiah-Ofori","NPP","Central"
"91","Assin North","Ken Ohene Agyapong","NPP","Ken Ohene Agyapong","NPP","Central"
"92","Assin South","Dominic Kwaku Fobih","NPP","Dominic Kwaku Fobih","NPP","Central"
"93","Awutu-Senya","David Nana Larbie","NDC","Oppey Abbey","NPP","Central"
"94","Cape Coast","Ebo Barton - Odro","NDC","Christine Churcher","NPP","Central"
"95","Effutu","Mike Allen Hammah","NDC","Samuel Owusu Agyei","NPP","Central"
"96","Gomoa East","Ekow Panyin Okyere Eduamoah","NDC","Richard Sam Quarm","NPP","Central"
"97","Gomoa West","Francis Kojo Arthur","NDC","Joe Kingsley Hackman","NPP","Central"
"98","Hemang Lower Denkyria","Rev. Benjamin Bimpong Donkor","NPP","Rev. Benjamin Bimpong Donkor","NPP","Central"
"99","Komenda-Edina-Eguafo-Abirem","Dr Joseph Samuel Annan","NDC","Dr. Paa Kwesi Nduom","CPP","Central"
"100","Mfanstsiman East","George Kuntu Blankson","NDC","George Kuntu Blankson","NDC","Central"
"101","Mfantsiman West","Aquinas Quansah","NDC","Stephen Asamoah Boateng","NPP","Central"
"102","Twifo-Atti Morkwaa","Elizabeth Amoah Tetteh","NDC","Elizabeth Amoah Tetteh","NDC","Central"
"103","Upper Denkyria East","Nana Amoako","NPP","Nana Amoako","NPP","Central"
"104","Upper Denkyria West","Benjamin Kofi Ayeh","NPP","Benjamin Kofi Ayeh","NPP","Central"
"105","Abetifi","Peter Wiafe Pepera","NPP","Eugene Atta Agyepong","NPP","Eastern"
"106","Abirem","Esther Obeng Dapaah","NPP","Esther Obeng Dapaah","NPP","Eastern"
"107","Aburi-Nsawam","Osei Bonsu Amoah","NPP","Magnus Opare-Asamoah","NPP","Eastern"
"108","Afram Plains North","Emmanuel Aboagye Didieye","NDC","Joseph Tsatsu Agbenu","NDC","Eastern"
"109","Afram Plains South","Raphael Kofi Ahaligah","NDC","Raphael Kofi Ahaligah","NDC","Eastern"
"110","Akim Abuakwa North","Samuel Kwadwo Amoako","NPP","Joseph Boakye Danquah Adu","NPP","Eastern"
"111","Akim Abuakwa South","Samuel Atta Akyea","NPP","Nana Addo Dankwa Akufo-Addo","(NPP)","Eastern"
"112","Akim Oda","Yaw Owusu-Boateng","NPP","Yaw Osafo-Maafo","NPP","Eastern"
"113","Akim Swedru","Joseph Ampomah Bosompem","NPP","Felix Owusu Adjapong","NPP","Eastern"
"114","Akropong","William Ofori Boafo","NPP","William Ofori Boafo","NPP","Eastern"
"115","Akwatia","Kofi Asare[3]","NPP","Kiston Akomena Kissi","NPP","Eastern"
"116","Asuogyaman","Joses Asare-Akoto","NDC","Kofi Osei-Ameyaw","NPP","Eastern"
"117","Atiwa","Kwasi Annoh Ankama[4]","NPP","Yaw Brempong-Yeboah","NPP","Eastern"
"118","Ayensuano","Ayeh-Paye Samuel","NPP","Godfred Kwame Otchere","NPP","Eastern"
"119","Fanteakwa","Kwabena Amankwah Asiamah","NPP","Kwadjo Agyei Addo","NPP","Eastern"
"120","Kade","Ofosu Asamoah","NPP","Ofosu Asamoah","NPP","Eastern"
"121","Lower Manya","Michael Teye Nyuanu","NDC","Michael Teye Nyuanu","NDC","Eastern"
"122","Lower West Akim","Gifty Klenam","NPP","James Appietu-Ankrah","NPP","Eastern"
"123","Mpraeso","Seth Kwame Acheampong","NPP","Dr. Francis Osafo-Mensah","NPP","Eastern"
"124","New Juaben North","Hackman Owusu-Agyeman","NPP","Hackman Owusu-Agyeman","NPP","Eastern"
"125","New Juaben South","Beatrice Bernice Boateng","NPP","Yaw Barimah","NPP","Eastern"
"126","Nkawkaw","Seth Adjei Baah","Independent","Kwabena Adusa Okerchiri","NPP","Eastern"
"127","Ofoase-Ayirebi","David Oppon-Kusi","NPP","David Oppon-Kusi","NPP","Eastern"
"128","Okere","Dan Botwe","NPP","Brandford Kwame Daniel Adu","NPP","Eastern"
"129","Suhum","Frederick Opare-Ansah","NPP","Frederick Opare-Ansah","NPP","Eastern"
"130","Upper Manya","Stephen Amoanor Kwao","NDC","Stephen Amoanor Kwao","NDC","Eastern"
"131","Upper West Akim","Joseph Sam Amankwanor","NDC","Samuel Sallas Mensah","NDC","Eastern"
"132","Yilo Krobo","Raymond Tawiah","NDC","Raymond Tawiah","NDC","Eastern"
"133","Ablekuma Central","Chaie Tettey Theophilus","NDC","Victor Okuley Nortey","NPP","Greater Accra"
"134","Ablekuma North","Justice Joe Appiah","NPP","Kwamena Bartels","NPP","Greater Accra"
"135","Ablekuma South","Fritz Baffour","NDC","Theresa Ameley Tagoe","NPP","Greater Accra"
"136","Abokobi-Madina","Alhaji Amadu Bukari Sorogho","NDC","Alhaji Amadu Bukari Sorogho","NDC","Greater Accra"
"137","Ada","Alex Narh Tettey-Enyo","NDC","Alex Narh Tettey-Enyo","NDC","Greater Accra"
"138","Adenta","Kojo Adu Asare","NDC","Kwadjo Opare-Hammond","NPP","Greater Accra"
"139","Ashaiman","Alfred Kwame Agbesi","NDC","Alfred Kwame Agbesi","NDC","Greater Accra"
"140","Ayawaso Central","Sheikh Ibrahim Cudjoe Quaye","NPP","Sheikh Ibrahim Cudjoe Quaye","NPP","Greater Accra"
"141","Ayawaso East","Dr. Alhaji Mustapha Ahmed","NDC","Dr. Alhaji Mustapha Ahmed","NDC","Greater Accra"
"142","Ayawaso East Wuogon","Akosua Frema Osei-Opare","NPP","Akosua Frema Osei-Opare","NPP","Greater Accra"
"143","Dade Kotopon","Nii Amasah Namoale","NDC","Nii Amasah Namoale","NDC","Greater Accra"
"144","Dome Kwabenya","Aaron Michael Oquaye","NPP","Aaron Michael Oquaye","NPP","Greater Accra"
"145","Domeabra-Obom","Daoud Anum Yemoh","NPP","Daoud Anum Yemoh","NPP","Greater Accra"
"146","Korle Klottey","Nii Armah Ashietey","NDC","Nii Adu Daku Mante","NPP","Greater Accra"
"147","Kpone-Katamanso","Joseph Nii Laryea Afotey Agbo","NDC","Joseph Nii Laryea Afotey Agbo","NDC","Greater Accra"
"148","Krowor","Nii Oakley Quaye","NDC","Abraham Laryea Odai","NPP","Greater Accra"
"149","Ledzokuku","Nii Nortey Duah","NDC","Dr. Gladys Nortey Ashitey","NPP","Greater Accra"
"150","Ningo-Prampram","Enoch Teye Mensah","NDC","Enoch Teye Mensah","NDC","Greater Accra"
"151","Odododiodoo","Jonathan Nii Tackie Komey","NDC","Jonathan Nii Tackie Komey","NDC","Greater Accra"
"152","Okaikwei North","Elizabeth Kwatsoe Tawiah Sackey","NPP","Elizabeth Kwatsoe Tawiah Sackey","NPP","Greater Accra"
"153","Okaikwei South","Nana Akomea","NPP","Nana Akomea","NPP","Greater Accra"
"154","Sege","Alfred Wallace Gbordzor Abayateye","NDC","Alfred Wallace Gbordzor Abayateye","NDC","Greater Accra"
"155","Shai-Osudoku","David Tetteh Assumeng","NDC","David Tetteh Assumeng","NDC","Greater Accra"
"156","Tema East","Samuel Evans Ashong Narh","NPP","Ishmael Ashitey","NPP","Greater Accra"
"157","Tema West","Irene Naa Torshie Addo","NPP","Abraham Osei-Aidooh","NPP","Greater Accra"
"158","Trobu-Amasaman","Ernest Attuquaye Armah","NDC","Sameul Nee-Aryeetey Attoh","NPP","Greater Accra"
"159","Weija","Shirley Ayorkor Botchway","NPP","Shirley Ayorkor Botchwey","NPP","Greater Accra"
"160","Bimbilla","Dominc Aduna Bingab Nitiwul","NPP","Mohammed Ibn Abass","NDC","Northern"
"161","Bole","Joseph Akati Saaka","NDC","John Dramani Mahama","NDC","Northern"
"162","Bunkpurugu-Yunyoo","Duut Emmanuel Kwame","NDC","Joseph Yaani Labik","Independent","Northern"
"163","Chereponi","Doris Asibi Seidu[5]","NPP","Doris Asibi Seidu","NPP","Northern"
"164","Damango-Daboya","Sammy B. Wusah","NDC","Alex Seidu Sofo","NPP","Northern"
"165","Gushiegu","Kwesi Thomas Nassan","NDC","Rita Tani Iddi","NPP","Northern"
"166","Karaga","Iddrisu Dawuda","NDC","Iddrisu Dawuda","NDC","Northern"
"167","Kpandai","Lipkalimor Kwajo Tawiah","NDC","Lipkalimor Kwajo Tawiah","NDC","Northern"
"168","Kumbungu","Alhaji Yakubu K. Imoro","NDC","Alhaji Yakubu K. Imoro","NDC","Northern"
"169","Mion","Ahmed Alhassan Yakubu","NDC","Ahmed Alhassan Yakubu","NDC","Northern"
"170","Nalerigu","Dr.Tia Alfred Sugri","NDC","Hajia Alima Mahama","NPP","Northern"
"171","Nanton","Alhaji Abdul-Kareem","NPP","Alhaji Alhassan Yakubu","NDC","Northern"
"172","Saboba","Bukari Nikpe Joseph","NDC","Charles Binipom Bintin","NPP","Northern"
"173","Salaga","Ibrahim Bey Abubakari","NDC","Boniface Abubakar Saddique","NPP","Northern"
"174","Savelugu","Hajia Mary Salifu Boforo","NDC","Hajia Mary Salifu Boforo","NDC","Northern"
"175","Sawla-Tuna-Kalba","Donald Dari Saditey","NDC","Donald Dari Saditey","NDC","Northern"
"176","Tamale Central","Alhassan Fuseini Inusah","NDC","Alhassan Fuseini Inusah","NDC","Northern"
"177","Tamale North","Alhaji Abubakari Sumani","NDC","Alhaji Abubakari Sumani","NDC","Northern"
"178","Tamale South","Haruna Iddrisu","NDC","Haruna Iddrisu","NDC","Northern"
"179","Tolon","Umar Abdul-Razak","NDC","Umar Abdul-Razak","NDC","Northern"
"180","Walewale (East)(formerly West Mamprusi)","Alidu Iddrisu Zakari","NDC","Alidu Iddrisu Zakari","NDC","Northern"
"181","Wulensi","Alhaji Saani Iddi","Independent[6]","Kofi Karim Wumbei","NPP","Northern"
"182","Yagaba-Kubori(Walewale West)","Abdul-Rauf Tanko Ibrahim","NDC","Abdul-Rauf Tanko Ibrahim","NDC","Northern"
"183","Yapei-Kusawgu","Alhaji Seidu Amadu","NDC","Alhaji Seidu Amadu","NDC","Northern"
"184","Yendi","Sulemana Ibn Iddrisu, Jnr","NDC","Malik Al-Hassan Yakubu","NPP","Northern"
"185","Zabzugu-Tatale","Jabaah John Bennam","NPP","Mohammed Jagri","NDC","Northern"
"186","Bawku Central","Adamu Dramani[7]","NPP","Mahama Ayariga","NDC","Upper East"
"187","Binduri","Stephen Yakubu","NPP","Mark Anthony Awuni","NDC","Upper East"
"188","Bolgatanga","Akolbire Emmanuel Opam-Brown","NDC","David Apasara","NDC","Upper East"
"189","Bongo","Albert Abongo","NDC","Albert Abongo","NDC","Upper East"
"190","Builsa North","Timothy Awotiirim Ataboadey","NDC","Agnes A. Chigabatia","NPP","Upper East"
"191","Builsa South","Alhassan Azong","PNC","Abolimbisa Roger Akantagriwen","NDC","Upper East"
"192","Chiana-Paga","Allowe Leo Kabah","NPP","Pele Tumbakura Abugu","NDC","Upper East"
"193","Garu - Tempane","Dominic Azimbe Azumah","NDC","Dominic Azimbe Azumah","NDC","Upper East"
"194","Nabdam","Moses Aduku Asaga","NDC","Moses Aduku Asaga","NDC","Upper East"
"195","Navrongo Central","Joseph Kofi Adda","NPP","Joseph Kofi Adda","NPP","Upper East"
"196","Pusiga","Simon Atingban Akunye","NDC","Simon Atingban Akunye","NDC","Upper East"
"197","Talensi","John Akologu Tia","NDC","John Akologu Tia","NDC","Upper East"
"198","Zebilla","Cletus Apul Avoka","NDC","John Akparibo Ndebugre","PNC","Upper East"
"199","Jirapa","Edward Salia[8]","NDC","Edward Salia","NDC","Upper West"
"200","Lambussie","John Duoghr Baloroo","NPP","Alice Teni Boon","NDC","Upper West"
"201","Lawra-Nandom","Ambrose P. Dery","NPP","Dr. Benjamin Bewa-Nyog Kunbuor","NDC","Upper West"
"202","Nadowli East","Mathias Asoma Puozaa","NDC","Mathias Asoma Puozaa","NDC","Upper West"
"203","Nadowli West","Alban Sumana Kingsford Bagbin","NDC","Alban Sumana Kingsford Bagbin","NDC","Upper West"
"204","Sissala East","Alhassan Dubie Halutie","NDC","Moses Dani Baah","PNC","Upper West"
"205","Sissala West","Haruna Bayirga","PNC","Haruna Bayirga","PNC","Upper West"
"206","Wa Central","Abdul-Rashid Hassan Pelpuo","NDC","Abdul-Rashid Hassan Pelpuo","NDC","Upper West"
"207","Wa East","Bayon Godfrey Tangu","NPP","Alhaji Issahaku Salia","NDC","Upper West"
"208","Wa West","Joseph Yieleh Chireh","NDC","Joseph Yieleh Chireh","NDC","Upper West"
"209","Akan","Joseph Kwadwo Ofori","NDC","John Kwadjo Gyampong","NDC","Volta"
"210","Anlo","Clement Kofi Humado","NDC","Clement Kofi Humado","NDC","Volta"
"211","Avenor-Ave","Edward Korbly Doe Adjaho","NDC","Edward Korbly Doe Adjaho","NDC","Volta"
"212","Biakoye","Emmanuel Kwasi Bandua","NDC","Emmanuel Kwasi Bandua","NDC","Volta"
"213","Buem","Henry Ford Kamel[9]","NDC","Henry Ford Kamel","NDC","Volta"
"214","Central Tongu","Joe Kwashie Gidisu","NDC","Joe Kwashie Gidisu","NDC","Volta"
"215","Ho Central","Capt  George Kofi Nfodjoh","NDC","Capt  George Kofi Nfodjoh","NDC","Volta"
"216","Ho East","Juliana Azumah-Mensah","NDC","Juliana Azumah-Mensah","NDC","Volta"
"217","Ho West","Emmanuel Kwasi Bedzra","NDC","Francis Aggrey Agbotse","NDC","Volta"
"218","Hohoe North","Prince Jacob Hayibor","NDC","Prince Jacob Hayibor","NDC","Volta"
"219","Hohoe South","Joseph Zaphenat Amenowode","NDC","Joseph Zaphenat Amenowode","NDC","Volta"
"220","Keta","Richard Lassey Agbenyefia","NDC","Dan Kwasi Abodakpi","NDC","Volta"
"221","Ketu North","James Klutse Avedzi","NDC","James Klutse Avedzi","NDC","Volta"
"222","Ketu South","Albert Kwasi Zigah","NDC","Albert Kwasi Zigah","NDC","Volta"
"223","Krachi East","Wisdom Gidisu","NDC","Wisdom Gidisu","NDC","Volta"
"224","Krachi West","Francis Y. Osei Sarfo","NDC","Francis Y. Osei Sarfo","NDC","Volta"
"225","Nkwanta North","Joseph K. Nayan","NPP","Joseph K. Nayan","NPP","Volta"
"226","Nkwanta South","Gershon Kofi Bediako Gbediame","NDC","Gershon Kofi Bediako Gbediame","NDC","Volta"
"227","North Dayi","Akua Sena Dansua","NDC","Akua Sena Dansua","NDC","Volta"
"228","North Tongu","Charles Hodogbey","NDC","Charles Hodogbey","NDC","Volta"
"229","South Dayi","Simon Edem Asimah","NDC","Daniel Kwame Ampofo","NDC","Volta"
"230","South Tongu","Woyome Kobla Mensah","NDC","Kenneth Dzirasah","NDC","Volta"
