"","Constituency","Elected MP","Elected Party","Previous MP","Previous Party","Region"
"110","Assin South","John Ntim Fordjuor","NPP","Dominic Kwaku Fobih","NPP","Central"
"111","Awutu-Senya East","Mavis Hawa Koomson","NPP","Mavis Hawa Koomson","NPP","Central"
"112","Awutu-Senya West","George Nenyi Kojo Andah","NPP","Hanna Serwaa Tetteh","NDC","Central"
"113","Cape Coast North","Barbara Asher Ayisi","NPP","Ebo Barton - OdroFirst Deputy Speaker[4]","NDC","Central"
"114","Cape Coast South","Rickets Kweku Hagan","NDC","Rickets Kweku Hagan","NDC","Central"
"115","Effutu","Alexander Afenyo-Markin","NPP","Alexander Afenyo-Markin","NPP","Central"
"116","Ekumfi","Francis Kingsley Ato Codjoe","NPP","Abeiku Crentsil","NDC","Central"
"117","Gomoa Central","Naana Eyiah Quansah","NPP","Rachel Florence Appoh","NDC","Central"
"118","Gomoa East","Kojo Asemanyi","NPP","Ekow Panyin Okyere Eduamoah","NDC","Central"
"119","Gomoa West","Alexandar Kodwo Kom Abban","NPP","Francis Kojo Arthur","NDC","Central"
"120","Hemang Lower Denkyira","Bright Wireko Brobbey","NPP","Foster Joseph Andoh","NDC","Central"
"121","Komenda-Edina-Eguafo-Abirem","Samuel Atta Mills","NDC","Stephen Nana Ato Arthur","NPP","Central"
"122","Mfantseman","Ekow Hayford","NPP","Aquinas Tawia Quansah","NDC","Central"
"123","Twifo-Atii Morkwaa","Abraham Dwuma Oddom","NPP","Samuel Ato Amoah","NDC","Central"
"124","Upper Denkyira East","Nana Amoako","NPP","Nana Amoako","NPP","Central"
"125","Upper Denkyira West","Samuel Nsowah-Djan","NPP","Benjamin Kofi Ayeh","NPP","Central"
"126","Abetifi","Bryan Achemapong","NPP","Peter Wiafe Pepera","NPP","Eastern"
"127","Abirem","Frimpong John Osei","NPP","Esther Obeng Dapaah","NPP","Eastern"
"128","Abuakwa North","Gifty Twum Ampofo","NPP","Gifty Twum Ampofo","NPP","Eastern"
"129","Abuakwa South","Samuel Atta Akyea","NPP","Samuel Atta Akyea","NPP","Eastern"
"130","Achiase","Robert Kwasi Amoah","NPP","Robert Kwasi Amoah","NPP","Eastern"
"131","Afram Plains North","Betty Crosby Mensah","NDC","Emmanuel Aboakye Didieye","NDC","Eastern"
"132","Afram Plains South","Eric Owusu Osei","NDC","Joseph Appiah Boateng","NDC","Eastern"
"133","Akim Oda","William Agyapong Quaittoo","NPP","William Agyapong Quaittoo","NPP","Eastern"
"134","Akim Swedru","Kennedy Osei Nyarko","NPP","Kennedy Osei Nyarko","NPP","Eastern"
"135","Akropong","Nana Dokua Asiamah Adjei","NPP","William Ofori Boafo","NPP","Eastern"
"136","Akwapim South","Osei Bonsu Amoah","NPP","Osei Bonsu Amoah","NPP","Eastern"
"137","Akwatia","Mercy Adu-Gyamfi","NPP","Baba Jamal Mohammed Ahmed","NDC","Eastern"
"138","Asene-Akroso-Manso","Kwame George Abogye","NPP","Yaw Owusu-Boateng","NPP","Eastern"
"139","Asuogyaman","Ampem Thomas Nyarko","NDC","Kofi Osei-Ameyaw","NPP","Eastern"
"140","Atiwa East","Abena Osei Asare","NPP","Abena Osei Asare","NPP","Eastern"
"141","Atiwa West","Kwesi Amoako Atta","NPP","Kwesi Amoako Atta","NPP","Eastern"
"142","Ayensuano","Samuel Ayeh-Paye","NPP","Samuel Ayeh-Paye","NPP","Eastern"
"143","Fanteakwa North","Kwabena Amankwa Asiamah","NPP","Kwabena Amankwa Asiamah","NPP","Eastern"
"144","Fanteakwa South","Kofi Okyere-Agyekum","NPP","Kofi Okyere-Agyekum","NPP","Eastern"
"145","Kade","Kwabena Tinyase Ohemeng","NPP","Ofosu Asamoah","NPP","Eastern"
"146","Lower Manya Krobo","Ebenezer Okletey Terlabi","NDC","Ebenezer Okletey Terlabi","NDC","Eastern"
"147","Lower West Akim","Eyiah Kyei Baffour","NPP","Gifty Klenam","NPP","Eastern"
"148","Mpraeso","Seth Kwame Acheampong","NPP","Seth Kwame Acheampong","NPP","Eastern"
"149","New Juaben North","Kwasi Boateng Adjei","NPP","Hackman Owusu-Agyeman","NPP","Eastern"
"150","New Juaben South","Mark Assibey-Yeboah","NPP","Mark Assibey-Yeboah","NPP","Eastern"
"151","Nkawkaw","Eric Kwakye Darfour","NPP","Eric Kwakye Darfour","NPP","Eastern"
"152","Nsawam-Adoagyiri","Frank Annoh-Dompreh","NPP","Frank Annoh-Dompreh","NPP","Eastern"
"153","Ofoase-Ayirebi","Kojo Oppong-Nkrumah","NPP","David Oppong Kusi","NPP","Eastern"
"154","Okere","Daniel Botwe","NPP","Daniel Botwe","NPP","Eastern"
"155","Suhum","Frederick Opare-Ansah","NPP","Frederick Opare-Ansah","NPP","Eastern"
"156","Upper Manya Krobo","Joseph Tetteh","NPP","Jeff Kavianu","NDC","Eastern"
"157","Upper West Akim","Ohene Assifo Derek Bekoe","NPP","Joseph Sam Amankwanor","NDC","Eastern"
"158","Yilo Krobo","Magnus Kofi Amoatey","NDC","Magnus Kofi Amoatey","NDC","Eastern"
"159","Ablekuma Central","Ebenezer Gilbert Nii Narh Nartey","NPP","Theophilus Tetteh Chaie","NDC","Greater Accra"
"160","Ablekuma North","Nana Akua Owusu Afriyie","NPP","Justice Joe Appiah","NPP","Greater Accra"
"161","Ablekuma South","Alfred Okoe Vanderpuije","NDC","Fritz Baffour","NDC","Greater Accra"
"162","Ablekuma West","Ursula G Owusu","NPP","Ursula G Owusu","NPP","Greater Accra"
"163","Ada","Comfort Doyoe Cudjoe-Ghansah","NDC","Comfort Doyoe Cudjoe-Ghansah","NDC","Greater Accra"
"164","Adenta","Asamoa Yaw Buaben","NPP","Emmanuel Nii Ashie Moore","NDC","Greater Accra"
"165","Amasaman","Emmanuel Nii Okai Laryea","NDC","Emmanuel Nii Okai Laryea","NDC","Greater Accra"
"166","Anyaa-Sowutuom","Shirley Ayorkor Botchwey","NPP","Shirley Ayorkor Botchwey","NPP","Greater Accra"
"167","Ashaiman","Ernest Henry Norgbey","NDC","Alfred Kwame Agbesi","NDC","Greater Accra"
"168","Ayawaso Central","Henry Quartey","NPP","Henry Quartey","NPP","Greater Accra"
"169","Ayawaso East","Naser Mahama Toure","NDC","Naser Mahama Toure","NDC","Greater Accra"
"170","Ayawaso North","Yussif I Jajah","NDC","Mustapha Ahmed","NDC","Greater Accra"
"171","Ayawaso West Wuogon","Emmanuel Kyeremanteng Agyarko","NPP","Emmanuel Kyeremateng Agyarko","NPP","Greater Accra"
"172","Bortianor-Ngleshie-Amanfro","Habiab Saad","NPP","Bright Edward Kodzo Demordzi","NDC","Greater Accra"
"173","Dade Kotopon","Vincent Sowah-Odote","NPP","Nii Amasah Namoale","NDC","Greater Accra"
"174","Dome Kwabenya","Sarah Adwoa Safo","NPP","Sarah Adwoa Safo","NPP","Greater Accra"
"175","Domeabra-Obom","Sophia Karen Ackuaku","NDC","Daoud Anum Yemoh","NPP","Greater Accra"
"176","Korle Klottey","Zenator Agyeman Rawlings","NDC","Nii Armah Ashietey","NDC","Greater Accra"
"177","Kpone-Katamanso","Joseph Nii Laryea Afotey Agbo","NDC","Joseph Nii Laryea Afotey Agbo","NDC","Greater Accra"
"178","Krowor","Quaye Elizabeth Afoley","NPP","Nii Oakley Quaye-Kumah","NDC","Greater Accra"
"179","Ledzokuku","Benard Oko-Boye","NPP","Benita Sena Okity-Duah","NDC","Greater Accra"
"180","Madina","Saddique Boniface Abu-bakar","NPP","Amadu Bukari Sorogho","NDC","Greater Accra"
"181","Ningo-Prampram","Samuel George Nartey","NDC","Enoch Teye Mensah","NDC","Greater Accra"
"182","Odododiodoo","Edwin Nii Lantey Vanderpuye","NDC","Edwin Nii Lantey Vanderpuye","NDC","Greater Accra"
"183","Okaikwei Central","Patrick Yaw Boamah","NPP","Patrick Yaw Boamah","NPP","Greater Accra"
"184","Okaikwei North","Issah Fuseini","NPP","Elizabeth Kwatsoe Tawiah Sackey","NPP","Greater Accra"
"185","Okaikwei South","Ahmed Arthur","NPP","Ahmed Arthur","NPP","Greater Accra"
"186","Sege","Otuteye Christian Corletey","NDC","Otuteye Christian Corletey","NDC","Greater Accra"
"187","Shai-Osudoku","Linda Obenwaa Akweley Ocloo","NDC","David Tetteh Assumeng","NDC","Greater Accra"
"188","Tema Central","Kofi Brako","NPP","Kofi Brako","NPP","Greater Accra"
"189","Tema East","Daniel Nii Kwartey Titus-Glover","NPP","Daniel Nii Kwartey Titus-Glover","NPP","Greater Accra"
"190","Tema West","Kingsley Carlos Ahenkora","NPP","Irene Naa Torshie Addo","NPP","Greater Accra"
"191","Trobu","Moses Anim","NPP","Moses Anim","NPP","Greater Accra"
"192","Weija Gbawe","Tina Gifty Naa Ayeley Mensah","NPP","Rosemund Comfort Abrah","NPP","Greater Accra"
"193","Bimbilla","Dominc Aduna Bingab Nitiwul","NPP","Dominc Aduna Bingab Nitiwul","NPP","Northern"
"194","Bole Bamboi","Yusif Sulemana","NDC","Joseph Akati Saaka","NDC","Northern"
"195","Bunkpurugu","Solomon Namliit Boar","NPP","Solomon Namliit Boar","NPP","Northern"
"196","Chereponi","Samuel Abdulai Jabanyite","NDC","Azumah Namoro Sanda","NPP","Northern"
"197","Daboya-Mankarigu","Shaibu Mahama Kalba","NDC","Tika Samuel Yeyu","NPP","Northern"
"198","Damango","Adam Mutawakilu","NDC","Adam Mutawakilu","NDC","Northern"
"199","Gushiegu","Ziblim Iddi","NPP","Thomas Kwesi Nassan","NDC","Northern"
"200","Karaga","Alhassan Sualihu Dandaawa","NDC","Alhassan Sualihu Dandaawa","NDC","Northern"
"201","Kpandai","Matthew Nyindam","NPP","Matthew Nyindam","NPP","Northern"
"202","Kumbungu","Ras Mubarak","NDC","Amadu Moses Yahaya","CPP","Northern"
"203","Mion","Abdul-Aziz Mohammed","NDC","Ahmed Alhassan Yakubu","NDC","Northern"
"204","Nalerigu Gambaga","Alima Hajia Mahama","NPP","Tia Alfred Sugri","NDC","Northern"
"205","Nanton","Mohammed Hardi Tuferu","NPP","Ibrahim Murtala Muhammed","NDC","Northern"
"206","Saboba","Charles Bintin Binipon","NPP","Bukari Nikpe Joseph","NDC","Northern"
"207","Sagnarigu","Alhassan Bashir Fuseini","NDC","Alhassan Bashir Fuseini","NDC","Northern"
"208","Salaga North","Alhassan Mumuni","NDC","Alhassan Mumuni","NDC","Northern"
"209","Salaga South","Salifu Adam Braimah","NPP","Ibrahim Dey Abubakari","NDC","Northern"
"210","Savelugu","Abdul-Samed Gunu Mohammed","NPP","Mary Salifu Boforo","NDC","Northern"
"211","Sawla-Tuna-Kalba","Andrew Dari Chiwetey","NDC","Donald Dari Soditey","NDC","Northern"
"212","Tamale Central","Alhassan Inusah Fuseini","NDC","Alhassan Fuseini Inusah","NDC","Northern"
"213","Tamale North","Suhuyini Alhassan Sayibu","NDC","Alhassan Dahamani","Independent","Northern"
"214","Tamale South","Haruna Iddrisu","NDC","Haruna Iddrisu","NDC","Northern"
"215","Tatale-Sanguli","Tampi Achemapong Simon","NDC","James C Yanwube","NPP","Northern"
"216","Tolon","Wahab Suhiyini Wumbei","NPP","Wahab Suhiyini Wumbei","NPP","Northern"
"217","Walewale","Sagre Bambangi","NPP","Sagre Bambangi","NPP","Northern"
"218","Wulensi","Thomas Donkor Ogajah","NPP","Laliri George Maban","NDC","Northern"
"219","Yagaba-Kubori(Walewale West)","Abdul-Rauf Tanko Ibrahim","NDC","Ussif Mustapha","NPP","Northern"
"220","Yapei-Kusawgu","John Abdulai Jinapor","NDC","Amadu Seidu","NDC","Northern"
"221","Yendi","Mohammed Habibu Tijani","NPP","Mohammed Habibu Tijani","NPP","Northern"
"222","Yunyoo","Naabu Joseph Bipoba","NDC","Naabu Joseph Bipoba","NDC","Northern"
"223","Zabzugu(Formerly Zabzugu-Tatale)","Alhassan Umar","NDC","Jabaah John Bennam","NPP","Northern"
"224","Bawku Central","Mahama Ayariga","NDC","Mahama Ayariga","NDC","Upper East"
"225","Binduri","Robert Baba Kuganab-Lem","NDC","Noah Ben Azure","NDC","Upper East"
"226","Bolgatanga Central","Isaac Adongo","NDC","Emmanuel Opam-brown Akolbire","NDC","Upper East"
"227","Bolgatanga East","Dominic Akuritinga Ayine","NDC","Dominic Akuritinga Ayine","NDC","Upper East"
"228","Bongo","Edward Abambire Bawa","NDC","Albert Abongo","NDC","Upper East"
"229","Builsa North","James Agalga","NDC","James Agalga","NDC","Upper East"
"230","Builsa South","Clement Apaak","NDC","Alhassan Azong","PNC","Upper East"
"231","Chiana-Paga","Rudolph Nsowine Amenga-Etego","NDC","Abuga Pele","NDC","Upper East"
"232","Garu","Albert Akuka Alaalzuga","NDC","Dominic Azimbe Azumah","NDC","Upper East"
"233","Nabdam","Mark Kurt Nawaane","NDC","Boniface Gambila Adagbila","NPP","Upper East"
"234","Navrongo Central","Joseph Kofi Adda","NPP","Mark Owen Woyongo","NDC","Upper East"
"235","Pusiga","Laadi Ayii Ayamba","NDC","Laadi Ayii Ayamba","NDC","Upper East"
"236","Talensi","Benson Tongo Baaba","NDC","Benson Tongo Baba","NDC","Upper East"
"237","Tempane","Joseph Dindiock Kpemka","NPP","David Adakudugu","NDC","Upper East"
"238","Zebilla","Frank Fuseini Adongo","NPP","Cletus Apul Avoka",NA,"Upper East"
"239","Daffiama, Bussie, Issa","Issa Sebastian N. Sandaare","NDC","Puozaa Mathias Asuma","NDC","Upper West"
"240","Jirapa","Francis Bawaana Dakurah","NDC","Paul Derigubah","Independent","Upper West"
"241","Lambussie","Edward Kaale Ewola Dery","NDC","Edward Kaale Ewola Dery","NDC","Upper West"
"242","Lawra","Anthony N-Yoh Abayifaa Karboh","NPP","Samson Abu","NDC","Upper West"
"243","Nadowli West","Alban Sumana Kingsford Bagbin","NDC","Alban Sumana Kingsford Bagbin","NDC","Upper West"
"244","Nandom","Ambrose Dery","NPP","Benjamin Kunbuor","NDC","Upper West"
"245","Sissala East","Abbas Ridwan Dauda","NPP","Sulemana Alijata","NDC","Upper West"
"246","Sissala West","Patrick Al-hassan Adamah","NPP","Amin Amidu Sulemana","NDC","Upper West"
"247","Wa Central","Abdul-Rashid Hassan Pelpuo","NDC","Abdul-Rashid Hassan Pelpuo","NDC","Upper West"
"248","Wa East","Bayon Godfrey Tangu","NPP","Ameen Salifu","NDC","Upper West"
"249","Wa West","Joseph Yieleh Chireh","NDC","Joseph Yieleh Chireh","NDC","Upper West"
"250","Adaklu","Kwame Governs Agbodza","NDC","Kwame Governs Agbodza","NDC","Volta"
"251","Afadjato South","Oforiwaa Angela Alorwu-Tay","NDC","Joseph Zaphenat Amenowode","NDC","Volta"
"252","Agotime-Ziope","Charles Ageve","NDC","Juliana Azumah-Mensah","NDC","Volta"
"253","Akan","Azuz Abdl Amuniru","NDC","Joseph Kwadwo Ofori","Independent","Volta"
"254","Akatsi North","Peter Nortsu-Kotoe","NDC","Peter Nortsu-Kotoe","NDC","Volta"
"255","Akatsi South","Bernard Ahiafor","NDC","Bernard Ahiafor","NDC","Volta"
"256","Anlo","Clement Kofi Humado","NDC","Clement Kofi Humado","NDC","Volta"
"257","Biakoye","Nyanpong Kojo Aboagye","NDC","Emmanuel Kwasi Bandua","NDC","Volta"
"258","Buem","Daniel Kosi Ashiamah","NDC","Daniel Kosi Ashiamah","NDC","Volta"
"259","Central Tongu","Alexander R Hottordze","NDC","Joe Kwashie Gidisu","NDC","Volta"
"260","Ho Central","Benjamin Komla Kpodo","NDC","Benjamin Komla Kpodo","NDC","Volta"
"261","Ho West","Emmanuel Kwasi Bedzra","NDC","Emmanuel Kwasi Bedzra","NDC","Volta"
"262","Hohoe South","Mrs Bernice Adiku Heloo","NDC","Mrs Bernice Adiku Heloo","NDC","Volta"
"263","Keta","Richard Quashigah","NDC","Richard Quashigah","NDC","Volta"
"264","Ketu North","James Klutse Avedzi","NDC","James Klutse Avedzi","NDC","Volta"
"265","Ketu South","Fifi Fiavi Franklin Kwetey","NDC","Albert Kwasi Zigah","NDC","Volta"
"266","Kpando","Della Sowah","NDC","Della Sowah","NDC","Volta"
"267","Krachi East","Yaw Michael Gyato","NPP","Wisdom Gidisu","NDC","Volta"
"268","Krachi Nchumuru","John Majisi","NDC","John Majisi","NDC","Volta"
"269","Krachi West","Helen Adjoa Ntoso","NDC","Helen Adjoa Ntoso","NDC","Volta"
"270","Nkwanta North","John Oti Kwabena Bless","NDC","John Oti Kwabena Bless","NDC","Volta"
"271","Nkwanta South","Geoffery Kinin","NDC","Gershon Kofi Bediako Gbediame","NDC","Volta"
