"","Constituency","Elected MP","Elected Party","Region"
"129","Krowor","Jacob Aplerh Tawiah","NDC","Greater Accra"
"130","Ledzokuku","Seth Adjei Sow","NCP","Greater Accra"
"131","Ningo-Prampram","Stanley Basil Bade Carboo","NDC","Greater Accra"
"132","Odododiodoo","Emm Nii Korley Adu Tetteh","NCP","Greater Accra"
"133","Okaikwei North","Sheriff E Nii Oto Dodoo","NDC","Greater Accra"
"134","Okaikwei South","Orlando Aryee","NDC","Greater Accra"
"135","Shai-Osudoku","Michael Afedi Gizo","NDC","Greater Accra"
"136","Tema East","Erasmus Aruna Quao","NCP","Greater Accra"
"137","Tema West","Gladys Boateng","NDC","Greater Accra"
"138","Bimbilla","Mohamed Ibn Chambas(First Deputy Speaker) 1993-1994","NDC","Northern"
"139","Bole","Mahama Jeduah","NDC","Northern"
"140","Bunkpurugu/Yunyoo","Joseph Yaani Labik","NDC","Northern"
"141","Chereponi","Innocent Mahama Du Yahaya","NDC","Northern"
"142","Chogu/Tishigu","Ahaji Mohammed Haroon","NDC","Northern"
"143","Damango/Daboya","Edward Aliedong Alhassan","NDC","Northern"
"144","Gukpegu/Sabongida","Alhaji Basit Abdulai Fuseini","NDC","Northern"
"145","Gushiegu/Karaga","Issahaku Mahama","NDC","Northern"
"146","Kpandai","Likpalior Kwajo Tawiah","NDC","Northern"
"147","Kumbungu","Alhassan Musah","NDC","Northern"
"148","Mion","Alhassan Ahmed Adams","NDC","Northern"
"149","Nalerigu","Isaac Kolibilla Batesimah","NDC","Northern"
"150","Nanton","Alhaji Alhassan Yakubu","NDC","Northern"
"151","Saboba","Bukari Moses Mabengba","NDC","Northern"
"152","Salaga","Hamid Baba Braimah","NDC","Northern"
"153","Savelugu","Abubakar Alhassan MacNamara","NDC","Northern"
"154","Sawla/Kalba","Denwuoh Kinglsey Nanmin Bown","NCP","Northern"
"155","Tolon","Alhaji Abdullah Salifu","NDC","Northern"
"156","West Mamprusi (Walewale)","Ben Baluri Saibu","NDC","Northern"
"157","Wulensi","Amidu Seidu","NDC","Northern"
"158","Yapei/Kusawgu","Wilson Salif Yaquob","EGLE","Northern"
"159","Yendi","Yusuf Iddrisu","NDC","Northern"
"160","Zabzugu/Tatale","Jagri John Kokpah","NDC","Northern"
"161","Bawku Central","Hawa Yakubu","Independent","Upper East"
"162","Bawku West","Cletus Apul Avoka","NDC","Upper East"
"163","Binduri","Fortunate Atubiga","NDC","Upper East"
"164","Bolgatanga","Akake Patrick","NDC","Upper East"
"165","Bongo","Gaaga Akayeri Azitariga","NDC","Upper East"
"166","Builsa North","Sylvester Azantilow","NDC","Upper East"
"167","Builsa South","Norbert Garko Awullay","NDC","Upper East"
"168","Chiana / Paga","Dr Stephen Ayidaya","NDC","Upper East"
"169","Garu/Tempane","Dominic Azimbe Azumah","NDC","Upper East"
"170","Nabdan","Danzi Paul Kpal","NDC","Upper East"
"171","Navrongo Central","Godfrey Abulu","NDC","Upper East"
"172","Talensi","John Akologu Tia","NDC","Upper East"
"173","Jirapa","Issah Alhassan","NCP","Upper West"
"174","Lambussie","Jacob Bawline Boon","NDC","Upper West"
"175","Lawra/Nandom","Ken Meyir Kunfah","NDC","Upper West"
"176","Nadowli North","Alban Sumana Bagbin","NDC","Upper West"
"177","Nadowli South","Emmanuel Zumakpel","NDC","Upper West"
"178","Sissala","Alhaji Amidu Sulemana","NDC","Upper West"
"179","Wa Central","Mumuni Abudu Seidu","NDC","Upper West"
"180","Wa East","Issaku Saliah","NDC","Upper West"
"181","Akan","Seth Kwabena Akompi (Dr)","NCP","Volta"
"182","Anlo","Cled Mawuko Kwasi Sowu","NDC","Volta"
"183","Avenor","Edward Korbly Doe Adjaho","NDC","Volta"
"184","Biakoye","Dr Kwabena Adjei","","Volta"
"185","Buem","Emil K Bratuo","NDC","Volta"
"186","Ho Central","Vicent Kofi Darkey-Mensah","NCP","Volta"
"187","Ho East","Steve Senu Akorli","NDC","Volta"
"188","Ho West","Lt. Col E.K.D. Anku-Tsede (rtd.)","NDC","Volta"
"189","Hohoe North","Patience Pomary","NDC","Volta"
"190","Hohoe South","Kosi Kedem","NDC","Volta"
"191","Keta","Comdr Kwaku Tsidi Doulo(Rtd)","NCP","Volta"
"192","Ketu North","Prince R V K Ahiadzro","NCP","Volta"
"193","Ketu South","Wisdom Tsidore Seyena-Susu","NDC","Volta"
"194","Krachi","Sampson Kwadwo Apraku","NCP","Volta"
"195","Nkwanta","Okpora Peter Kwadwo","NCP","Volta"
"196","North Dayi","Stephen George Obimpeh","NDC","Volta"
"197","North Tongu","Austin Gamey","NDC","Volta"
"198","South Dayi","Alexander Ransford Ababio","NDC","Volta"
"199","South Tongu","Kenneth Dzirasah(First Deputy Speaker)","NDC","Volta"
"200","Tarkwa -Nsuaem","Mathew Kojo Kum","NDC","Western"
